,title,installs,score,ratings,reviews,size,androidVersion,developer,contentRating,containsAds,released,updated,version
0,BYJU'S – The Learning App,100000000,4.1220655,1745108,947,167M,5,BYJU'S,Everyone,FALSE,"Jul 6, 2015",1651664753,10.1.1.13300
1,Duolingo: language lessons,100000000,4.5738,12512116,592133,Varies with device,Varies,Duolingo,Everyone,TRUE,"May 29, 2013",1652121759,Varies with device
2,"IIT JEE, NEET, NCERT Solutions",50000000,4.22,574552,307,22M,5,Doubtnut: Doubt Solving & Video Solutions App,Everyone,FALSE,"Oct 14, 2016",1652125525,7.9.67
3,Unacademy Learner App,50000000,3.3584905,951700,452,Varies with device,Varies,Unacademy,Everyone,FALSE,"Feb 15, 2017",1651833530,Varies with device
4,Noon Academy – Student Learning App,10000000,4.2523365,103191,459,52M,5,Noon Academy,Everyone,FALSE,"Mar 12, 2017",1652216183,4.6.32
5,Cambly - English Teacher,10000000,4.171521,126401,1352,99M,5,Cambly,Everyone,FALSE,"Feb 17, 2014",1651033831,5.1.2
6,Edmodo,10000000,3.9538593,459326,15292,Varies with device,5,"Edmodo, Inc",Everyone,TRUE,"Nov 2, 2010",1647559958,10.48.0
7,Quizlet: Languages & Vocab,10000000,4.673288,466157,49990,Varies with device,Varies,Quizlet Inc.,Everyone,TRUE,"Aug 20, 2013",1652224566,Varies with device
8,Udemy - Online Courses,10000000,4.353716,357547,13123,32M,6,Udemy,Everyone,FALSE,"Jan 14, 2014",1651761883,7.27.1
9,Teachmint - The Classroom App,10000000,3.9672132,134739,25,44M,5,Teachmint Technologies,Everyone,FALSE,"Jun 13, 2020",1652294692,5.18.0
10,Memrise Easy Language Learning,10000000,4.58008,1452079,65279,26M,7,Memrise,Everyone,TRUE,"May 20, 2013",1649335495,2022.4.5.0
11,Sololearn: Learn to Code,10000000,4.5160303,554749,19226,36M,5,Sololearn,Teen,TRUE,"Oct 25, 2016",1651312105,4.18.2
12,Epic: Kids' Books & Reading,5000000,4.3926272,82461,24061,203M,7,Epic! Creations Inc,Everyone,FALSE,"May 21, 2015",1652120180,3.55.3
13,LinkedIn Learning: Online Courses to Learn Skills,5000000,4.770349,76453,1685,40M,5,LinkedIn,Everyone,FALSE,"Sep 22, 2016",1652020625,0.230.4
14,"Cuemath: Math Games, Online Classes & Learning App",1000000,4.1034484,35681,316,60M,5,Cuemath,Everyone,FALSE,"Oct 11, 2019",1647418660,2.9.0
15,Computer Course,1000000,4.225,5631,24,3.6M,4.1,InnovApp21,Everyone,TRUE,"Jan 30, 2015",1609733279,75
16,Think and Learn | Parent Connect,1000000,3.4615386,8323,5,22M,4.1,BYJU'S,Everyone,FALSE,"May 21, 2017",1602857044,3.4.0
17,Great Learning- Online Courses,1000000,4.16,18492,51,56M,5,Great Learning,Everyone,FALSE,"Apr 22, 2015",1650104751,4.6.29
18,uLesson Educational App,1000000,4.34,12023,63,70M,5,uLesson Education,Everyone,FALSE,"Mar 1, 2020",1651692763,1.10.10
19,Pluralsight – The Technology Skills Platform,1000000,4.524731,17874,1918,Varies with device,Varies,Pluralsight,Everyone,FALSE,"Apr 17, 2011",1651510535,Varies with device
20,upGrad - Online Learning Courses,1000000,4.35,20206,16,136M,6,upGrad,Everyone,FALSE,"May 4, 2016",1652177517,5.4.4
21,Skillshare - Creative Classes,1000000,4.3229437,51403,4298,30M,5,"Skillshare, Inc",Everyone,FALSE,"May 18, 2015",1651600555,5.4.7
22,Cursa - Online courses,1000000,4.65,42862,258,34M,5,MedTech Cursos livres e ensino online LTDA,Everyone,TRUE,"Feb 13, 2017",1650113079,2.6.7
23,MasterClass: Learn from the best,1000000,4.445049,18982,3707,33M,5.1,MasterClass Inc.,Teen,FALSE,"Aug 8, 2018",1651796993,2.24.3
24,HSK Study and Exam — SuperTest,1000000,4.74,23345,326,57M,4.1,Learn Language - Super Chinese,Everyone,FALSE,"Feb 13, 2018",1650629730,3.6.11
25,Taleemabad: Learning at Home,1000000,4.266667,7084,15,152M,4.4,Orenda Educational Studios,Everyone,FALSE,"May 10, 2018",1649936771,165
26,10 Minute School - Online Learning Courses,1000000,4.08,54691,339,159M,5,10 Minute School,Everyone,FALSE,"Jan 26, 2019",1651151841,3.8.4.4
27,Shaw Academy - Online Courses With Certification,1000000,3.72147,53044,3183,38M,5,Shaw Academy - Interactive Online Courses,Everyone,FALSE,"Jun 6, 2017",1632128973,3.9
28,HOMER Learn & Grow,1000000,4.0805087,4571,1383,44M,5,Homer Learning,Everyone,FALSE,"Nov 15, 2017",1651246130,4.4.0
29,Chegg Study - Homework Help,1000000,3.8073,32033,7081,39M,7,"Chegg, Inc.",Everyone,FALSE,"Aug 19, 2013",1651596157,13.3.4
30,EduRev Exam Preparation App: Learning & Mock Tests,1000000,4.5,50941,24,39M,5,"EduRev: Learning, Mock Test & Exam Preparation App",Everyone,FALSE,"Dec 15, 2014",1652165087,6.4.8_edurev
